#lambda (nm)	Ea (m2/mol)
350	4.8163018884
351	4.684670774
352	4.49406278
353	4.3233030695
354	4.2145750014
355	4.1061078929
356	4.0261774891
357	3.9681216436
358	3.941181398
359	3.9234207917
360	3.9326618332
361	3.9624112326
362	4.005853338
363	4.0595496224
364	4.1289188359
365	4.2035072424
366	4.2796921078
367	4.3735608268
368	4.4709141245
369	4.5773703086
370	4.6824449417
371	4.8027166364
372	4.9154972543
373	5.035200978
374	5.151665732
375	5.2792749978
376	5.398287946
377	5.5296427503
378	5.667153132
379	5.8146106814
380	5.9707720024
381	6.1308784192
382	6.2834784086
383	6.4271290172
384	6.5590978442
385	6.670143848
386	6.7851502981
387	6.8966261177
388	7.0065668806
389	7.123584255
390	7.2479238501
391	7.356513763
392	7.4660554112
393	7.5708690846
394	7.6602093862
395	7.741030123
396	7.8188882003
397	7.8860622827
398	7.9504425619
399	8.0176012938
400	8.0845297672
401	8.145057054
402	8.199367361
403	8.2410595018
404	8.2698878672
405	8.2842559981
406	8.2950781481
407	8.3032292993
408	8.3102905603
409	8.3152794946
410	8.318211453
411	8.3147115236
412	8.303735868
413	8.2877559275
414	8.2642081573
415	8.2311430353
416	8.1889289753
417	8.1386251663
418	8.0802623095
419	8.0107702914
420	7.937916499
421	7.8670582804
422	7.7960465562
423	7.7227475974
424	7.6569243648
425	7.591147184
426	7.5154995884
427	7.432253462
428	7.3426061491
429	7.2441476105
430	7.1402703217
431	7.0351189358
432	6.9334060769
433	6.83418001
434	6.7330197716
435	6.6297872066
436	6.5275831296
437	6.4161226605
438	6.3024824109
439	6.1875834147
440	6.0743576304
441	5.961208599
442	5.8544300529
443	5.7465155649
444	5.64193215
445	5.5365965572
446	5.4337170553
447	5.3308989556
448	5.2328548823
449	5.1387559049
450	5.0508739072
451	4.9660159712
452	4.8864693315
453	4.8065235771
454	4.7259638
455	4.6450816609
456	4.5639999645
457	4.4846068305
458	4.4129503824
459	4.3432434564
460	4.2761921785
461	4.2160486558
462	4.156304248
463	4.0960993231
464	4.045657359
465	4.0015858803
466	3.9595713776
467	3.9283790249
468	3.9012852736
469	3.8758186825
470	3.8530077395
471	3.8330059503
472	3.80999545
473	3.796087836
474	3.7811977857
475	3.7705905437
476	3.7642200583
477	3.7642814606
478	3.7604898705
479	3.7645731214
480	3.771112463
481	3.7837459799
482	3.8017675459
483	3.8284314813
484	3.8610974885
485	3.9011471185
486	3.9415037599
487	3.9849612159
488	4.0291554991
489	4.0713235075
490	4.1139213317
491	4.1600958381
492	4.2053953621
493	4.2578021989
494	4.3156431364
495	4.3756485039
496	4.4408270126
497	4.5120996965
498	4.5819908294
499	4.6534937718
500	4.7273914027
501	4.8050652732
502	4.8812194375
503	4.9601981062
504	5.0407732339
505	5.1288394384
506	5.2138815812
507	5.3058468298
508	5.3975050671
509	5.4918036019
510	5.575663751
511	5.6603528307
512	5.7431077389
513	5.8288713584
514	5.9138213977
515	6.00831949
516	6.1071924938
517	6.2015984827
518	6.2940088977
519	6.3864039622
520	6.4748539309
521	6.5590517925
522	6.6494052315
523	6.742122658
524	6.8294673858
525	6.909244284
526	6.9828963059
527	7.0542457426
528	7.1218035892
529	7.1942582668
530	7.2716711776
531	7.3495292549
532	7.4195278418
533	7.4816669381
534	7.5349641077
535	7.584300831
536	7.6318568885
537	7.6773713205
538	7.725633504
539	7.7771500078
540	7.828513006
541	7.8827005085
542	7.936995465
543	7.9873760268
544	8.0361601297
545	8.0793259249
546	8.1146936319
547	8.1463465016
548	8.1711069667
549	8.1853062414
550	8.1908784973
551	8.193303887
552	8.1878697861
553	8.1816835075
554	8.1740235745
555	8.1713525757
556	8.1635544876
557	8.161942678
558	8.1580896856
559	8.1556489454
560	8.149953885
561	8.1457171284
562	8.1345726165
563	8.1275113556
564	8.11220684
565	8.0921743497
566	8.0669073159
567	8.0363136353
568	7.9978297631
569	7.9607734937
570	7.9164257048
571	7.8730757028
572	7.8319975847
573	7.7843187228
574	7.7302540248
575	7.6828975247
576	7.6259469201
577	7.5612596295
578	7.4984604587
579	7.4386239475
580	7.3679652862
581	7.3006683993
582	7.2288737961
583	7.155866498
584	7.0794206729
585	7.0105426775
586	6.939577005
587	6.8804159186
588	6.8199039824
589	6.7560763236
590	6.6883189196
591	6.6222193769
592	6.5482910448
593	6.4713847027
594	6.3975024224
595	6.3191070752
596	6.2418937218
597	6.1642505525
598	6.089877054
599	6.0149969867
600	5.9460268879
601	5.8660504323
602	5.7828657082
603	5.6979770711
604	5.609327545
605	5.5151671653
606	5.4264101853
607	5.3435017713
608	5.2625889312
609	5.1822287114
610	5.105368421
611	5.036582529
612	4.9602441579
613	4.8761537503
614	4.8010894763
615	4.7228476348
616	4.6397550141
617	4.5620350919
618	4.4918829994
619	4.4131038881
620	4.3350769546
621	4.2520457361
622	4.173082418
623	4.0966212423
624	4.0212653075
625	3.952709674
626	3.891798623
627	3.8242407764
628	3.7492839564
629	3.6800375473
630	3.6039754864
631	3.5255647887
632	3.4549828803
633	3.3928130828
634	3.3271740571
635	3.2683046316
636	3.2140096751
637	3.1554319103
638	3.0953651405
639	3.0395965296
640	2.9852248202
641	2.9267545094
642	2.8765428038
643	2.8250263
644	2.7763343006
645	2.7280414159
646	2.6843997531
647	2.6365366843
648	2.5968247667
649	2.5524616273
650	2.5049669721
651	2.4572727595
652	2.4086268118
653	2.3524590861
654	2.302017122
655	2.2581144996
656	2.2167754219
657	2.1773091134
658	2.1431694517
659	2.1013545064
660	2.0532151274
661	1.9958807586
662	1.9417239572
663	1.8866461218
664	1.8380615763
665	1.7917949665
666	1.756764972
667	1.7248511426
668	1.6967289033
669	1.6674246704
670	1.6441071587
671	1.6218488361
672	1.6039347241
673	1.5810009766
674	1.5665407422
675	1.5487187335
676	1.5301905988
677	1.4956978741
678	1.467498882
679	1.4353854953
680	1.4124210466
681	1.3949674516
682	1.3903315803
683	1.3857724618
684	1.3843295085
685	1.3706982047
686	1.34784121
687	1.3232803024
688	1.3013596923
689	1.2703208452
690	1.2434266514
691	1.2173460375
692	1.192815831
693	1.1611169096
694	1.136341094
695	1.1111968647
696	1.0927608334
697	1.0683227303
698	1.0489042627
699	1.0286568644
700	1.0086704258
701	0.984293725
702	0.965243671
703	0.9441519915
704	0.9211568417
705	0.9015541673
706	0.8891662595
707	0.8806313441
708	0.8698398953
709	0.8646514036
710	0.8591098488
711	0.8416869549
712	0.8114309868
