#lambda (nm)	Ea (m2/mol)
350	55.8008471436
352	57.3514079452
354	51.8728672335
356	44.9611975598
358	38.8469131039
360	33.3973849643
362	28.4288668507
364	24.4566773067
366	21.5714921335
368	19.6059364206
370	18.378658566
372	17.687583702
374	17.3945567231
376	17.3834812888
378	17.5534350945
380	17.8303900295
382	18.1587386638
384	18.4902418396
386	18.7811504403
388	19.007793891
390	19.1508304769
392	19.2041353218
394	19.1607546187
396	19.0221159702
398	18.7876437302
400	18.4629101546
402	18.0501487508
404	17.5572113341
406	16.9942523047
408	16.3727615622
410	15.6998310688
412	14.9919243078
414	14.2596331707
416	13.5149310999
418	12.7694691761
420	12.0392964172
422	11.3305146739
424	10.6536928117
426	10.0161991028
428	9.4229380536
430	8.8758898872
432	8.3808571181
434	7.9413396755
436	7.5603999977
438	7.242320893
440	6.9901878253
442	6.8045994668
444	6.6849571454
446	6.6309845508
448	6.6408165892
450	6.7136013039
452	6.8479110924
454	7.0430091273
456	7.2965007202
458	7.6049319934
460	7.9645497333
462	8.3710020539
464	8.8192693198
466	9.3060818601
468	9.8307028477
470	10.3882277763
472	10.9751567165
474	11.5892561608
476	12.2252531893
478	12.8731776087
480	13.5281939901
482	14.1826807769
484	14.8244112423
486	15.4465006569
488	16.0477286505
490	16.6262992068
492	17.183732032
494	17.7239415207
496	18.2443487775
498	18.7395197018
500	19.2027307449
502	19.6284787286
504	20.0131485943
506	20.3594113406
508	20.6686254927
510	20.942748248
512	21.1812500119
514	21.3817821477
516	21.5376671585
518	21.6447373653
520	21.6999533558
522	21.7014960879
524	21.6492734579
526	21.5460025165
528	21.3949989861
530	21.1989338655
532	20.9611459029
534	20.6866086823
536	20.3795359343
538	20.0440953379
540	19.6857900716
542	19.3094785898
544	18.9156904872
546	18.5058073148
548	18.0813257529
550	17.6419464655
552	17.1874852457
554	16.7217183331
556	16.2476160624
558	15.7673198379
560	15.2848822092
562	14.8031583819
564	14.3229312349
566	13.8452369315
568	13.3701445493
570	12.8951672963
572	12.4204663535
574	11.947123936
576	11.4751630694
578	11.0069093649
580	10.5464153722
582	10.0940725307
584	9.64932822
586	9.2134028101
588	8.7854673706
590	8.363725885
592	7.9496289819
594	7.5448345225
596	7.1497799981
598	6.7662844509
600	6.3968576985
602	6.0415457928
604	5.7007631991
606	5.3749474084
608	5.0624866113
610	4.761792024
612	4.4729327241
614	4.1951258326
616	3.928002936
618	3.6732218954
620	3.4313353314
622	3.2022971922
624	2.9864989173
626	2.7841247135
628	2.593746978
630	2.4145828319
632	2.2459829462
634	2.0873486488
636	1.9383944192
638	1.7994334088
640	1.6706314039
642	1.5509867799
644	1.4402324369
646	1.3377121382
648	1.2427051747
650	1.1544539958
652	1.0741352226
654	1.0012445889
656	0.9349416512
658	0.8748741138
660	0.820719615
662	0.7712485743
664	0.7259290945
666	0.684459537
668	0.6462458348
670	0.6111406225
672	0.5788537743
674	0.5493530541
676	0.5229976651
678	0.4998336591
680	0.4794327551
682	0.4615693
684	0.4457459352
686	0.4309311027
688	0.4165813924
690	0.4025125975
692	0.3885474189
694	0.374734211
696	0.3614413872
698	0.3486735529
700	0.335919534
702	0.3227142085
704	0.3086177826
706	0.2933976951
708	0.2773003227
710	0.2612236736
712	0.2461279258
714	0.2326762236
716	0.2214824365
718	0.2123549892
720	0.2046719535
722	0.1974994009
724	0.190526022
726	0.182840914
728	0.1747088742
730	0.1661439484
732	0.1578622406
734	0.1500451945
736	0.1435102277
738	0.1381376059
740	0.1341665677
742	0.1303601643
744	0.1276520939
746	0.1252799708
748	0.1185886585
750	0.1010017438
752	0.0
754 0.0
