#Lambda (nm)	spectre source non normalise
400	4.21485E-05
400.5	4.93842E-05
401	5.89934E-05
401.5	7.21627E-05
402	9.22017E-05
402.5	0.000115849
403	0.000146147
403.5	0.00017604
404	0.000206053
404.5	0.000241243
405	0.000272219
405.5	0.000298629
406	0.000296173
406.5	0.000290001
407	0.000282751
407.5	0.000290288
408	0.000304998
408.5	0.000331855
409	0.000349873
409.5	0.000360947
410	0.000371345
410.5	0.00039081
411	0.000423897
411.5	0.00047188
412	0.000519305
412.5	0.000554605
413	0.000562153
413.5	0.000554738
414	0.000536888
414.5	0.000518004
415	0.000498
415.5	0.000477899
416	0.000461078
416.5	0.000451247
417	0.000429292
417.5	0.000401111
418	0.0003626
418.5	0.000327377
419	0.000294533
419.5	0.000292301
420	0.000291512
420.5	0.000292717
421	0.000304857
421.5	0.000322989
422	0.000352242
422.5	0.000389804
423	0.00043243
423.5	0.000485449
424	0.000533834
424.5	0.000577941
425	0.000573988
425.5	0.000551412
426	0.000501183
426.5	0.000450276
427	0.00040845
427.5	0.000403713
428	0.000411003
428.5	0.000425474
429	0.000435392
429.5	0.000450086
430	0.000470384
430.5	0.000510434
431	0.000556708
431.5	0.000611219
432	0.000667712
432.5	0.000722414
433	0.00076138
433.5	0.000854878
434	0.000991224
434.5	0.001285425
435	0.001629817
435.5	0.002044664
436	0.002413368
436.5	0.002668985
437	0.00259856
437.5	0.002288405
438	0.001856583
438.5	0.001445822
439	0.00114337
439.5	0.000940897
440	0.000841913
440.5	0.000764732
441	0.000714571
441.5	0.000671835
442	0.00063396
442.5	0.000607145
443	0.000591971
443.5	0.00058411
444	0.000580566
444.5	0.000590098
445	0.000613796
445.5	0.000640286
446	0.000666403
446.5	0.000691065
447	0.000728482
447.5	0.000773406
448	0.000834219
448.5	0.00093737
449	0.001072202
449.5	0.001257132
450	0.001485707
450.5	0.001769831
451	0.002112914
451.5	0.002459649
452	0.002791096
452.5	0.003064666
453	0.003289974
453.5	0.00335708
454	0.003272673
454.5	0.003069222
455	0.002711098
455.5	0.002342218
456	0.001962844
456.5	0.001668073
457	0.00141775
457.5	0.001248063
458	0.001118083
458.5	0.001011849
459	0.000942735
459.5	0.000886904
460	0.000842389
460.5	0.000802633
461	0.000768439
461.5	0.00074229
462	0.000712751
462.5	0.000684289
463	0.000661596
463.5	0.000638775
464	0.00061682
464.5	0.000603196
465	0.000603014
465.5	0.000615238
466	0.000638595
466.5	0.000670055
467	0.000713975
467.5	0.000749409
468	0.000783267
468.5	0.000818852
469	0.000871462
469.5	0.000938062
470	0.001051629
470.5	0.001225957
471	0.001456371
471.5	0.001841623
472	0.002267328
472.5	0.00274291
473	0.003145364
473.5	0.003467392
474	0.003592629
474.5	0.003420553
475	0.003072828
475.5	0.0024665
476	0.001931436
476.5	0.001462155
477	0.001253036
477.5	0.001109537
478	0.00104601
478.5	0.0010048
479	0.00095779
479.5	0.000874744
480	0.000817571
480.5	0.000780009
481	0.000798986
481.5	0.000854671
482	0.000944241
482.5	0.001042433
483	0.001130884
483.5	0.001202853
484	0.001156362
484.5	0.001055909
485	0.000866924
485.5	0.000713162
486	0.000587226
486.5	0.000562529
487	0.000607056
487.5	0.00071055
488	0.000874672
488.5	0.00101473
489	0.001116837
489.5	0.001178078
490	0.001234112
490.5	0.001297482
491	0.001366708
491.5	0.001435993
492	0.001487299
492.5	0.001527604
493	0.001559266
493.5	0.001621577
494	0.001683666
494.5	0.00174545
495	0.00180821
495.5	0.001880719
496	0.001975606
496.5	0.002092794
497	0.002223451
497.5	0.002379289
498	0.002519524
498.5	0.002644868
499	0.002594133
499.5	0.002522974
500	0.002427837
500.5	0.002400634
501	0.002389286
501.5	0.002391946
502	0.002410489
502.5	0.00242761
503	0.002418986
503.5	0.002407357
504	0.002406005
504.5	0.002594532
505	0.002979221
505.5	0.003560075
506	0.004781101
506.5	0.006179303
507	0.007793521
507.5	0.009073681
508	0.010051874
508.5	0.010338301
509	0.009900894
509.5	0.009019437
510	0.007497491
510.5	0.006013392
511	0.004561533
511.5	0.003715732
512	0.002995322
512.5	0.002444446
513	0.002081362
513.5	0.001804148
514	0.001655763
514.5	0.001592576
515	0.001567438
515.5	0.001568115
516	0.001554064
516.5	0.001529889
517	0.001532216
517.5	0.001551138
518	0.00158954
518.5	0.001733959
519	0.001919516
519.5	0.00216206
520	0.002452953
520.5	0.002728212
521	0.002899688
521.5	0.002925219
522	0.002854904
522.5	0.002626446
523	0.00238953
523.5	0.002144808
524	0.002069419
524.5	0.002033961
525	0.002047816
525.5	0.002024974
526	0.002000568
526.5	0.001990118
527	0.001963817
527.5	0.001929811
528	0.001887721
528.5	0.001862406
529	0.001848389
529.5	0.001840045
530	0.001836028
530.5	0.001837092
531	0.001994321
531.5	0.002298687
532	0.002854991
532.5	0.003989262
533	0.005465005
533.5	0.007573456
534	0.010048295
534.5	0.012698865
535	0.015232294
535.5	0.017348243
536	0.01910856
536.5	0.019757112
537	0.019758585
537.5	0.018897807
538	0.017428697
538.5	0.015775316
539	0.013923036
539.5	0.012029342
540	0.010136167
540.5	0.008311653
541	0.006772563
541.5	0.005473212
542	0.004919093
542.5	0.004741048
543	0.004910148
543.5	0.006449587
544	0.008842036
544.5	0.012428355
545	0.016414994
545.5	0.019971342
546	0.022225149
546.5	0.022796048
547	0.022293705
547.5	0.019592777
548	0.016422123
548.5	0.012986404
549	0.010704734
549.5	0.009026224
550	0.007950875
550.5	0.007631402
551	0.007373536
551.5	0.00713747
552	0.006649797
552.5	0.006037437
553	0.005227392
553.5	0.004400197
554	0.003615163
554.5	0.003134266
555	0.00281694
555.5	0.002611504
556	0.002474274
556.5	0.00237046
557	0.002302847
557.5	0.002304805
558	0.002293513
558.5	0.002247914
559	0.002204105
559.5	0.002137095
